SOURCE	TARGET
AT4G02400.1	AT4G25630.1
AT4G02400.1	AT3G23620.1
AT4G02400.1	AT3G12860.1
AT4G02400.1	AT1G52930.1
AT4G02400.1	AT2G19385.1
AT4G02400.1	AT2G42650.1
AT4G02400.1	AT2G34570.1
AT4G02400.1	AT1G29320.1
AT4G02400.1	AT5G08180.2
AT4G02400.1	AT2G47990.1
AT4G02400.1	AT1G48920.1
AT4G02400.1	AT3G13940.1
AT4G02400.1	AT5G20600.1
AT4G02400.1	AT2G18220.1
AT4G02400.1	AT5G14520.1
AT4G02400.1	AT4G01560.1
AT4G02400.1	AT4G27010.2
AT4G02400.1	AT2G40700.1
AT5G18650.1	AT5G61000.1
AT5G18650.1	AT3G15355.1
AT5G18650.1	AT1G10230.1
AT5G18650.1	AT1G65430.1
AT5G27120.1	AT5G08610.1
AT5G27120.1	AT3G01160.1
AT5G27120.1	AT4G02400.1
AT5G27120.1	AT1G23280.1
AT5G27120.1	AT5G30495.2
AT5G27120.1	AT4G16630.1
AT5G27120.1	AT3G15460.1
AT5G27120.1	AT3G49180.1
AT5G27120.1	AT5G06360.1
AT5G27120.1	AT2G47420.1
AT5G27120.1	AT4G25630.1
AT5G27120.1	AT3G23620.1
AT5G27120.1	AT3G12860.1
AT5G27120.1	AT1G52930.1
AT5G27120.1	AT2G19385.1
AT5G27120.1	AT2G37920.1
AT5G27120.1	AT2G42650.1
AT5G27120.1	AT2G34570.1
AT5G27120.1	AT1G29320.1
AT5G27120.1	AT5G08180.2
AT5G27120.1	AT2G47990.1
AT5G27120.1	AT1G48920.1
AT5G27120.1	AT3G13940.1
AT5G27120.1	AT5G20600.1
AT5G27120.1	AT2G18220.1
AT5G27120.1	AT5G14520.1
AT5G27120.1	AT4G01560.1
AT5G27120.1	AT2G40700.1
AT1G05900.2	AT3G48425.1
AT2G16390.1	AT4G15950.1
AT2G16390.1	AT3G49250.1
AT2G36930.1	AT3G11250.1
AT2G36930.1	AT3G15460.1
AT2G36930.1	AT3G01160.1
AT2G36930.1	AT1G23280.1
AT2G36930.1	AT5G14600.1
AT2G36930.1	AT5G57280.1
AT2G36930.1	AT5G06360.1
AT2G36930.1	AT5G30495.2
AT2G36930.1	AT3G23620.1
AT2G36930.1	AT1G52930.1
AT2G36930.1	AT2G42650.1
AT2G36930.1	AT2G34570.1
AT2G36930.1	AT5G08180.2
AT2G36930.1	AT3G13940.1
AT2G36930.1	AT5G14520.1
AT2G36930.1	AT4G01560.1
AT2G37470.1	AT5G51940.1
AT2G37470.1	AT4G15950.1
AT2G37470.1	AT5G04240.1
AT2G37470.1	AT5G59180.1
AT2G37470.1	AT5G63110.1
AT2G37470.1	AT2G04630.1
AT2G37470.1	AT1G11475.1
AT2G37470.1	AT1G54140.1
AT2G37470.1	AT3G48190.1
AT2G37470.1	AT5G54260.1
AT2G37470.1	AT5G22880.1
AT1G65430.1	AT3G15355.1
AT1G65430.1	AT5G18650.1
AT1G65430.1	AT1G10230.1
AT2G47420.1	AT3G01160.1
AT2G47420.1	AT4G02400.1
AT2G47420.1	AT1G23280.1
AT2G47420.1	AT5G27120.1
AT2G47420.1	AT4G16630.1
AT2G47420.1	AT3G15460.1
AT2G47420.1	AT5G06360.1
AT2G47420.1	AT4G25630.1
AT2G47420.1	AT3G23620.1
AT2G47420.1	AT3G12860.1
AT2G47420.1	AT1G52930.1
AT2G47420.1	AT2G42650.1
